actionlint	setup				infra setup
adhd	clarify	anytime		Reshape a dense, decision-heavy message into clear one-decision-at-a-time chunks, losing nothing
adhd	shape	anytime		Set a standing action-first output posture — lead with the next action, cut preamble
ai-briefing	generate				personal-domain plugin
ai-briefing	setup				personal-domain plugin
architecture	improve	plan		Scan the codebase for shallow modules and friction, then design the chosen fix several ways
autonomy	setup				infra setup
bash-format	setup				infra setup
biome-format	setup				infra setup
bug-report	setup				infra setup
bug-report	write	contract		Turn an informal bug description into a structured 5-field report, read-only
claude-config	audit	anytime		Audit settings, hooks, permissions, and MCP config for drift against current official docs
claude-config	audit-automation-gaps	anytime		Audit the repo's automation landscape for hook, MCP, skill, and subagent gaps worth adding
claude-config	audit-instructions	anytime		Find instructions current models no longer need across CLAUDE.md, rules, and skill bodies
claude-config	audit-pass	anytime		Run one coordinated, resumable audit pass over a repo with a single human gate
claude-config	audit-permission-grants	anytime		Audit permission grants for portability and auto-mode durability
claude-config	setup				infra setup
claude-memory	audit	anytime		Audit CLAUDE.md, rules, and auto-memory against the official-docs checklist
claude-memory	stateless	anytime		Inspect, disable, or purge Claude Code's per-repo auto memory
claude-ops	changelog	anytime		Ingest a Claude Code release changelog and integrate its changes into the repo
claude-ops	known-issues	anytime		Look up and track known Claude product issues, health, and workarounds
claude-ops	lanes	operator	daily	Start, restart, stop, and check loop lanes as named background sessions
claude-ops	morning-brief	operator	daily	Print the operator's read-only morning view — queues, merge-ready PRs, parked decisions
claude-ops	observability	operator	weekly	Report on locally captured telemetry — token burn, cost, hook latency, trends
claude-ops	plugins	operator	weekly	Bring the machine's plugin fleet current — refresh, update, install per policy
claude-ops	setup				infra setup
codebase-health	audit	anytime		Audit for drift between docs, config, code, and architecture via verified findings
codebase-health	setup				infra setup
code-tidying	audit-comment-residue	review		Classify code comments for history narration and session-reference residue
code-tidying	batch-simplify	review		Batch-run simplification across all recently changed files by ecosystem
code-tidying	setup				infra setup
code-tidying	tidy	anytime		Proactively hunt one lane for safe structural tidyings and ship a structure-only PR
context7	lookup	research		Look up current library docs, API references, and examples via Context7
context7	setup				infra setup
context-guard	setup				infra setup
debugging	debug	implement		Diagnose broken behavior — reproduce, hypothesise, instrument, fix with regression test
desktop-notification	setup				infra setup
discipline	do-your-research	anytime		Re-anchor research discipline, then audit and correct the current work
discipline	do-your-research-deep	anytime		Verify every session claim against primary sources in a heavy fan-out
discipline	follow-our-standards	anytime		Re-anchor to org engineering standards and audit the work in flight
discipline	mind-your-maxims	anytime		Re-anchor cooperative communication and audit recent responses for clarity
discipline	pick-for-the-problem	anytime		Re-derive a tool or approach choice from the problem, not habit
discipline	point-dont-copy	anytime		Audit for copied content and correct by pointing at the living source
discipline	reason-dont-recite	anytime		Challenge decisions coasting on precedent, re-derive from first principles
discipline	recheck-against-upstream	anytime		Audit the surface in flight against current official upstream docs
discipline	recheck-against-upstream-deep	anytime		Fan out doc-by-doc upstream conformance checks across a whole subsystem
discipline	reuse-or-replace	anytime		Reuse the established way or openly replace it — never a silent second way
discipline	script-the-deterministic-work	anytime		Script counting, diffing, and transforms instead of eyeballing them
discipline	scrutinize-dont-coast	anytime		Re-examine your own recent output through a fresh-context pass
discipline	setup				infra setup
discipline	sweep-all	anytime		Batch every discipline corrector into one audited re-anchor pass
discipline	tighten-your-output	anytime		Tighten prose and code — fewer words, no semantic loss
discipline	use-your-skills	anytime		Map the task to available skills and invoke them instead of reinventing
discovery	blindspot	explore		Surface your unknown-unknowns and sharpen the prompt before unfamiliar work
discovery	explore	explore		Explore code, history, tests, and config before changing anything
discovery	research	research		Multi-source external research with source tiers and a coverage ledger
discovery	research-deep	research		Dispatch deep multi-topic research to the heaviest isolated tier
discovery	setup				infra setup
disk-hygiene	clean	anytime		Audit a directory tree for stale leftovers and remove validated paths
disk-hygiene	setup				infra setup
docs-hygiene	audit-derivability	anytime		Judge whether a doc earns its existence or should become a pointer
docs-hygiene	audit-encapsulation	anytime		Find external citations reaching into a skill's private surfaces
docs-hygiene	audit-noise	anytime		Classify markdown for stale citations, ghost refs, and meta-commentary
docs-hygiene	compress	anytime		Tighten markdown by dropping flavor while preserving every directive
docs-hygiene	extract-ssot	anytime		Deduplicate repeated prose into one named source of truth
docs-hygiene	rename-references	anytime		Sweep stale references after renames, including forms grep misses
domain-driven-design	curate-language	plan		Maintain the domain glossary — resolve terms, record rejected synonyms
dometrain	grounding	research		Ground an approach in how a Dometrain course teaches it, with lesson links
dometrain	setup				infra setup
dometrain	sync				maintainer-only vendored-content drift check
education	explain	anytime		Explain any concept or the last response in genuinely plain words
education	quiz-me	anytime		Generate a post-change report with a quiz verifying you absorbed the work
education	teach	anytime		Multi-session learning coach for general topics or repo-grounded concepts
eol-normalizer	setup				infra setup
event-storming	methodology	plan		EventStorming facilitation reference across all three formats
event-storming	simulation	plan		Multi-persona agentic EventStorming workshop on Miro
firecrawl	firecrawl	research		Scrape, search, crawl, or parse web pages when WebFetch is blocked
firecrawl	setup				infra setup
firecrawl	update				maintainer-only upstream sync
github	advise	anytime		Design and set up GitHub settings and admin areas grounded in live gh state
github	audit	anytime		Read-only audit of GitHub org and repo settings, drift, and cost signals
github	setup				infra setup
go-format	setup				infra setup
guardrails	setup				infra setup
implementation	implement	implement		Execute approved plans with TDD, incremental validation, and green commits
implementation	implement-dispatch	implement		Orchestrate worker subagents to execute an approved plan
kindle-dedrm	manage				personal-domain plugin
kindle-dedrm	setup				personal-domain plugin
knowledge	book-distill				personal-domain plugin
knowledge	course-digest				personal-domain plugin
knowledge	setup				personal-domain plugin
knowledge	youtube-digest				personal-domain plugin
machine-health	audit				personal-domain plugin
machine-health	setup				personal-domain plugin
markdown-format	setup				infra setup
mcp-tools	audit	review		Audit MCP tool definitions against design quality criteria
miro	setup				infra setup
naming	name-it-better	plan		Generate and evaluate name candidates from blind fresh-context lenses
planning	audit-answers	contract		Adversarially validate interview answers with fresh-context agents
planning	brainstorm	contract		Diverge into codebase-grounded candidate approaches before scoping
planning	design	plan		Resolve types, contracts, and module boundaries before planning
planning	design-handoff	plan		Gate a finished design and package it for planning
planning	devils-advocate	plan		Stress-test a plan or the incumbent approach adversarially
planning	draft-goal-condition	plan		Pick the right autonomy lever and craft a /goal completion condition
planning	interview	contract		Interview in frontier rounds until the task contract is locked
planning	plan	plan		Produce a structured implementation plan with an approval gate
planning	prd	contract		Lock product intent — problem, users, success metrics — before planning
planning	questionnaire	contract		Turn a decision someone else must answer into an async questionnaire
planning	setup				infra setup
planning	wayfind	contract		Chart a too-big, foggy effort as a decision map worked one decision at a time
playbooks	boris	anytime		Boris Cherny's Claude Code workflow tips across 115 sections
playbooks	fable-5	anytime		Fable 5's operating doctrine loaded as standing session instructions
playbooks	skill-authoring	anytime		Anthropic's internal skill-authoring playbook and patterns
playbooks	update				maintainer-only upstream sync
playwright	playwright	test		Live E2E browser automation with disk-written artifacts
playwright	setup				infra setup
plugin-quality	audit	review		Behavioral audit of a plugin component ending in a maintainer work item
plugin-quality	setup				infra setup
powershell-format	setup				infra setup
prototype	explore-directions	plan		Throwaway UI variations answering what should this look like
prototype	pressure-test	plan		Throwaway terminal app pressure-testing logic or a data model
rate-limit-guard	setup				infra setup
repo-fleet-hygiene	audit	operator	weekly	Audit git and GitHub hygiene across all local repositories, read-only
repo-fleet-hygiene	setup				infra setup
repo-hygiene	clean	anytime		Clean caches, build artifacts, stale branches, and stashes per repo
review	fanout	review		Fan review out across every reviewer surface into one ranked report
review	quality-gate	review		Single-lens review checkpoint routed to the matching reviewer
review	setup				infra setup
ruff-format	setup				infra setup
session-flow	clean-stop	session		Make everything durable before the machine goes away
session-flow	continue-in-background	session		Delegate the task to a fresh background agent now
session-flow	find-handoff	session		Recover a lost handoff or resume prompt after /clear
session-flow	handoff	session		Write a mid-session save-point for clear-and-resume
session-flow	keep-going	session		Recover after an interruption and continue where work stood
session-flow	orchestrate	session		Arm the session with proactive-orchestration imperatives
session-flow	orient	session		Read-only situation report from durable and off-thread state
session-flow	reanchor	session		Verify working assumptions are still true before building on them
session-flow	reconcile	session		Retire finished off-thread work and square the task ledger
session-flow	retro	retro		Structured session retrospective with codified learnings
session-flow	running-retro	retro		In-flight retro checkpoint appended to a running ledger
session-flow	setup				infra setup
session-flow	workflow	anytime		Navigate the staged dev workflow and suggest the next stage
skill-quality	check	review		Static QA gate for skill frontmatter, caps, and evals
skill-quality	setup				infra setup
songwriting	co-write				personal-domain plugin
songwriting	diagnose				personal-domain plugin
songwriting	meter-prosody				personal-domain plugin
songwriting	object-writing				personal-domain plugin
songwriting	practice				personal-domain plugin
songwriting	rhyme				personal-domain plugin
songwriting	setup				personal-domain plugin
songwriting	song-form				personal-domain plugin
songwriting	suno				personal-domain plugin
songwriting	workflow				personal-domain plugin
source-control	babysit-loop	operator	continuous	Run one repo's PR queue as a standing merge lane
source-control	babysit-prs	operator	continuous	Tiered fleet pass advancing your open PRs
source-control	commit	implement		Commit with the resolved convention and surgical staging
source-control	pull-request	pr		Full PR lifecycle — prep, create, monitor CI, address reviews, merge
source-control	resolve-conflicts	pr		Resolve merge and rebase conflicts by recovering both sides' intent
source-control	setup				infra setup
source-control	worktree	session		Create, inspect, and clean git worktrees for parallel sessions
tdd	principles	test		Answer test design questions from authoritative TDD sources
testing	diagnose	test		Root-cause failing tests — never retry blindly
testing	plan	test		Classify changes by required test type and coverage gaps
testing	run-e2e	test		Start the app, drive real flows, capture evidence
testing	write	test		Write and place tests with TDD cadence across ecosystems
toolchain	check	verify		Build, test, and lint changed files across detected ecosystems
toolchain	lint	verify		Polyglot lint and format checks without a full build
toolchain	setup				infra setup
typos-format	setup				infra setup
verification	confirm	verify		Prove the change achieved its intended outcome with evidence
verification	measure	verify		Verify an improvement claim against a pre-change baseline
verification	setup				infra setup
visualization	visualize	anytime		Pick the best visual form for what is in the conversation and render it
work-items	attend-queue	operator	daily	Drive escalated and untriaged items to resolution in one view
work-items	decompose	plan		Break a plan into vertical-slice work items with dependencies
work-items	scan-todos	anytime		Sweep source comments for TODO and FIXME markers, resolve or file each
work-items	setup				infra setup
work-items	track	anytime		Backlog CRUD through the bound tracker — add, list, close, stats
work-items	triage	anytime		Evaluate raw intake through the verified-to-eligible state machine
work-items	work	anytime		Auto-select one work item and execute it end-to-end
work-items	work-loop	operator	continuous	Drain the backlog as a self-paced autonomous loop
x	read				personal-domain plugin
